,DGS1,DGS5,DGS10,DGS30,DATE
199,-0.040000007,-0.030000001,-0.07999998,-0.22000003,2020-06-19
200,-0.030000001,-0.08000001,-0.120000005,-0.24000001,2020-06-22
201,-0.050000012,-0.08000001,-0.14000005,-0.25,2020-06-23
202,-0.060000002,-0.10000001,-0.13999999,-0.24000001,2020-06-24
203,-0.060000002,-0.11,-0.13,-0.2299999,2020-06-25
204,-0.050000004,-0.08000001,-0.07999998,-0.13999999,2020-06-26
205,-0.019999996,-0.09,-0.120000005,-0.19999993,2020-06-29
206,-0.04,-0.06999999,-0.110000014,-0.18999994,2020-06-30
207,-0.019999996,-0.10000001,-0.13999999,-0.2299999,2020-07-01
208,-0.019999996,-0.059999987,-0.110000014,-0.19999993,2020-07-02
209,-0.030000001,-0.07000001,-0.100000024,-0.20000005,2020-07-06
210,0.0,-0.01999998,-0.00999999,-0.059999943,2020-07-07
211,-0.02000001,0.0,0.01999998,-0.01999998,2020-07-08
212,-0.010000005,0.03999999,0.089999974,0.099999905,2020-07-09
213,-0.02000001,-0.01000002,0.060000002,0.120000005,2020-07-10
214,-0.030000001,-0.01000002,0.050000012,0.099999905,2020-07-13
215,-0.040000007,-0.00999999,0.04000002,0.100000024,2020-07-14
216,-0.02000001,0.00999999,0.04000002,0.089999914,2020-07-15
217,-0.020000003,-0.02000001,0.029999971,0.07000005,2020-07-16
218,-0.010000005,-0.01999998,0.0,0.01999998,2020-07-17
219,0.0,-0.00999999,0.029999971,0.029999971,2020-07-20
220,-0.02000001,0.030000001,0.07999998,0.08000004,2020-07-21
221,-0.020000003,0.00999999,0.089999974,0.120000005,2020-07-22
222,-0.010000005,0.03999999,0.15000004,0.26,2020-07-23
223,-0.04,0.00999999,0.15000004,0.28999996,2020-07-24
224,-0.020000003,-0.02000001,0.100000024,0.24000001,2020-07-27
225,-0.020000003,0.0,0.09000003,0.20999992,2020-07-28
226,0.0,0.00999999,0.08000004,0.13999999,2020-07-29
227,0.009999998,0.00999999,0.07999998,0.13999999,2020-07-30
